"CAS","area","temperature","amount","duration"
"004426-72-6",2.67333235908277,25,20,0
"000078-83-1",16.8204836693108,25,20,0
"000078-83-1",2.34702780699366,25,20,0
"000541-05-9",0.0209259442896119,25,20,0
"000110-86-1",0.713986090462634,25,20,0
"000543-27-1",1.16801686155622,25,20,0
"000541-05-9",1.55865303945049,25,20,0
"000541-05-9",10.8970053120405,25,20,0
"000541-05-9",11.1102147631449,25,20,0
"1000333-93-9",0.856389069151539,25,20,0
"000694-87-1",0.0845210089133642,25,20,0
"1000356-01-8",0.0725458367893972,25,20,0
"000620-02-0",0.0548967806351072,25,20,0
"000556-67-2",12.2161477594961,25,20,0
"000556-67-2",0.0654152482612273,25,20,0
"001189-93-1",0.0282874175626474,25,20,0
"1000309-17-6",0.123729571668807,25,20,0
"062016-28-8",0.147476823829333,25,20,0
"056292-66-1",0.114042479943162,25,20,0
"002847-72-5",0.0815096689019704,25,20,0
"006975-98-0",0.227738654452998,25,20,0
"013151-34-3",0.173941077757127,25,20,0
"192823-15-7",0.130017341354388,25,20,0
"000529-20-4",0.757967747853909,25,20,0
"000539-92-4",6.2061862725857,25,20,0
"029812-79-1",0.0969778811955958,25,20,0
"001120-21-4",1.22445835264085,25,20,0
"000124-19-6",0.338725918415057,25,20,0
"001632-70-8",0.0566538886939878,25,20,0
"037112-31-5",0.186196134208624,25,20,0
"062199-06-8",0.0396488960893996,25,20,0
"1000454-23-9",0.106972495020709,25,20,0
"1000454-24-5",0.582722800433268,25,20,0
"000541-02-6",4.67440714686885,25,20,0
"1000146-59-1",0.0984239667422876,25,20,0
"1000146-59-1",0.126392022756425,25,20,0
"1000146-59-1",0.195223649051024,25,20,0
"1000146-59-1",0.114102513570171,25,20,0
"1000146-59-1",0.133092252578035,25,20,0
"1000146-59-1",0.0737945981853935,25,20,0
"1000146-59-1",0.170685055798871,25,20,0
"1000146-59-1",0.0675884469726938,25,20,0
"1000146-59-1",0.103689987638773,25,20,0
